ID,Location,Specific Location,LocationID,Amenities,Bedroom,Bathroom,Toilet,New,Duplex,Luxury,Estate,Rank,Price
67,Ajah,... abraham adesanya estate ajah lagos,1,4,2,2,2,1,1,1,1,4,9450000
68,Ajah,peaceville estate badore ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
69,Ajah," harmony estate, langbasa ajah lagos",1,7,4,3,4,0,0,0,1,5,12600000
70,Ajah," harmony estate, langbasa. ajah lagos",1,5,3,2,3,0,0,0,1,4,9450000
71,Ajah,crown estate sangotedo sangotedo ajah lagos,1,13,7,6,7,1,1,0,1,9,52500000
72,Ajah,back of blenco supermarket sangotedo ajah lagos,1,5,3,2,3,1,1,1,1,4,12600000
73,Ajah,rockstone estate after cooperative villa estate badore badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
74,Ajah,cooperative villa badore badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
75,Ajah,ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
76,Ajah,badore ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
77,Ajah,co-operation villa badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
78,Ajah,rockville estate badore ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
79,Ajah,rockville estate badore ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
80,Ajah,unity estate ado ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
81,Ajah,virgo estate badore ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
82,Ajah,pennisula estate sangotedo ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
83,Ajah,goodnews estate sangotedo ajah lagos,1,7,4,3,4,1,0,0,1,5,13650000
84,Ajah,greenville estate badore ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
85,Ajah,even estate ado ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
86,Ajah,royal palm estate badore ajah lagos,1,2,1,1,1,1,1,1,1,1,5250000
87,Ajah,ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
88,Ajah,greenville estate badore ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
89,Ajah,badore ajah lagos,1,8,4,4,4,0,0,0,1,5,12600000
90,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
91,Ajah,ado ajah lagos,1,5,3,2,3,0,0,0,1,4,9975000
92,Ajah,"lekki garden phase 2,opposite abraham adesanya abraham adesanya estate ajah lagos",1,7,4,3,4,1,1,1,1,5,15750000
93,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
94,Ajah,... badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
95,Ajah,silverpoint estate badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
96,Ajah,hitech estate sangotedo ajah lagos,1,7,4,3,4,1,0,0,1,5,13650000
97,Ajah,ado ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
98,Ajah,mobile ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
99,Ajah,green vill estate badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
100,Ajah,sangotedo ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
101,Ajah,badore ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
102,Ajah,badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
103,Ajah,- sangotedo ajah lagos,1,7,4,3,4,1,1,1,1,5,15750000
104,Ajah,badore ajah lagos,1,6,3,3,3,1,1,1,1,4,11550000
105,Ajah,greenville badore ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
106,Ajah,ogombo ajah lagos,1,2,1,1,1,1,1,1,1,1,5775000
107,Ajah," off mobil road, ilaje ajah lagos",1,7,4,3,4,0,0,0,1,5,12600000
108,Ajah,badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
109,Ajah,awoyaya ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
110,Ajah," fatai kaffo street,happy land estate olokonla ajah lagos",1,7,4,3,4,0,0,0,1,5,12600000
111,Ajah,mobil estate (emerald estate) ilaje ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
112,Ajah,- sangotedo ajah lagos,1,6,3,3,3,1,1,1,1,4,12600000
113,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
114,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
115,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
116,Ajah," lucky osujie, lekki palm city estate ado ajah lagos",1,9,5,4,5,1,1,0,1,8,31500000
117,Ajah,- ado ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
118,Ajah,badore ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
119,Ajah,emerald estate off mobil road ilaje ajah lagos,1,11,6,5,6,1,1,0,1,9,42000000
120,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
121,Ajah,ado ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
122,Ajah,awoyaya ajah lagos,1,8,4,4,4,0,0,0,1,5,12600000
123,Ajah,awoyaya ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
124,Ajah," salvation estate off addo/langbasa road, ajah lagos",1,3,2,1,2,1,1,0,1,4,8400000
125,Ajah,... badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
126,Ajah,badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
127,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
128,Ajah,alasela ogombo ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
129,Ajah,ado ajah lagos,1,5,3,2,3,1,1,0,1,4,10500000
130,Ajah,ado ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
131,Ajah,badore ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
132,Ajah,badore ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
133,Ajah,badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
134,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
135,Ajah,greenville estate badore ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
136,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
137,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
138,Ajah,badore ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
139,Ajah,... badore ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
140,Ajah,greenville estate badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
141,Ajah,mobile ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
142,Ajah,ado ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
143,Ajah,lekki scheme 2 ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
144,Ajah,lekki scheme 2 ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
145,Ajah,lekki scheme 2 ajah lagos,1,7,4,3,4,1,1,1,1,5,15750000
146,Ajah,- badore ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
147,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
148,Ajah,ado ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
149,Ajah,- badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
150,Ajah,ado ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
151,Ajah,badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
152,Ajah,lamgbasa ado ajah lagos,1,5,3,2,3,1,1,0,1,4,10500000
153,Ajah,abraham adesanya estate ajah lagos,1,6,3,3,3,1,1,1,1,4,15750000
154,Ajah,alaguntan ajah lagos,1,7,4,3,4,1,1,1,1,5,21000000
155,Ajah,ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
156,Ajah,.. sangotedo ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
157,Ajah,badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
158,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
159,Ajah,... badore ajah lagos,1,8,4,4,4,0,0,0,1,5,12600000
160,Ajah,by lekki gardens phase 2 abraham adesanya estate ajah lagos,1,7,4,3,4,1,1,1,1,5,21000000
161,Ajah,ado ajah lagos,1,11,6,5,6,1,1,0,1,9,42000000
162,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
163,Ajah,badore ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
164,Ajah,gold in estate badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
165,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
166,Ajah,thomas estate ajah lagos,1,6,3,3,3,1,1,0,1,4,10500000
167,Ajah," idowu estate, oke ira ado ajah lagos",1,5,3,2,3,0,0,0,1,4,9450000
168,Ajah,- sangotedo ajah lagos,1,5,3,2,3,1,1,1,1,4,13650000
169,Ajah,lbs ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
170,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
171,Ajah,badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
172,Ajah,facing locuse army on ado road ado ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
173,Ajah,abraham adesanya estate ajah lagos,1,7,4,3,4,1,1,1,1,5,15750000
174,Ajah,.. abraham adesanya estate ajah lagos,1,7,4,3,4,1,1,1,1,5,15750000
175,Ajah,- sangotedo ajah lagos,1,5,3,2,3,1,1,1,1,4,13650000
176,Ajah,- sangotedo ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
177,Ajah,sangotedo ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
178,Ajah,sangotedo ajah lagos,1,9,5,4,5,1,1,1,1,8,52500000
179,Ajah,sangotedo ajah lagos,1,15,8,7,8,1,1,0,1,10,57750000
180,Ajah,badore ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
181,Ajah,badore ajah lagos,1,8,4,4,4,1,1,1,1,5,15750000
182,Ajah,badore ajah lagos,1,8,4,4,4,0,0,0,1,5,12600000
183,Ajah,lbs sangotedo ajah lagos,1,15,8,7,8,1,1,0,1,10,57750000
184,Ajah," mobil road, ilaje ajah lagos",1,9,5,4,5,1,1,0,1,8,31500000
185,Ajah," opposite eco bank, pavilion estate ado road ajah ado ajah lagos",1,9,5,4,5,1,1,0,1,8,31500000
186,Ajah,badore ajah lagos,1,8,4,4,4,0,0,0,1,5,12600000
187,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
188,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
189,Ajah,... badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
190,Ajah,badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
191,Ajah,thomas estate thomas estate ajah lagos,1,7,4,3,4,1,1,1,1,5,21000000
192,Ajah,sangotedo ajah lagos,1,5,3,2,3,1,1,1,1,4,12600000
193,Ajah,... thomas estate ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
194,Ajah,badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
195,Ajah,badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
196,Ajah,kajola after lakwe lakowe ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
197,Ajah,gbetu road awoyaya off lekki epe expressway ajah lagos,1,12,6,6,6,1,1,0,1,9,42000000
198,Ajah,west wood street. badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
199,Ajah,badore ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
200,Ajah,ado ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
201,Ajah,mobil road ilaje ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
202,Ajah," harmony estate, ajah badagry badagry lagos",1,4,2,2,2,1,1,0,1,4,8400000
203,Ajah,victory park thomas estate ajah lagos,1,11,6,5,6,1,1,0,1,9,42000000
204,Ajah,by lagos business school olokonla ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
205,Ajah,alaguntan ilaje ajah lagos,1,11,6,5,6,1,1,0,1,9,42000000
206,Ajah,safecourt estate badore ajah lagos,1,7,4,3,4,1,1,1,1,5,31500000
207,Ajah,lekki scheme 2 ogombo ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
208,Ajah,badore ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
209,Ajah,.. thomas estate ajah lagos,1,5,3,2,3,1,1,0,1,4,10500000
210,Ajah,peninsula garden estate sangotedo ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
211,Ajah,lagos business school olokonla ajah lagos,1,5,3,2,3,1,1,1,1,4,12600000
212,Ajah,golden pearls estate sangotedo ajah lagos,1,11,6,5,6,1,1,0,1,9,42000000
213,Ajah,mobil estate ilaje ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
214,Ajah,alhaji folami street off mobil road illaje ajah ilaje ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
215,Ajah," unity avenue estate, pump and sell addo road ajah ado ajah lagos",1,6,3,3,3,1,1,1,1,4,12600000
216,Ajah,off mobil road illaje ajah ilaje ajah lagos,1,5,3,2,3,1,1,0,1,4,10500000
217,Ajah,orile maroko estate opposite emerald estate mobil road illaje ajah ilaje ajah lagos,1,8,3,5,3,1,1,0,1,4,10500000
218,Ajah,ado ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
219,Ajah,ado ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
220,Ajah,off mobile road ajiwe ajah lagos,1,4,2,2,2,1,1,1,1,4,10500000
221,Ajah,badore ajah lagos,1,9,4,5,4,0,0,0,1,5,12600000
222,Ajah,thomas estate ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
223,Ajah,thomas estate ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
224,Ajah,harmony estate lanbasa ado ajah lagos,1,8,4,4,4,0,0,0,1,5,12600000
225,Ajah,badore ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
226,Ajah,awoyaya awoyaya ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
227,Ajah,abraham adesanya estate ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
228,Ajah," langbasa, addo road. ajah. ado ajah lagos",1,6,3,3,3,0,0,0,1,4,9450000
229,Ajah," greenville estate badore, ajah badore ajah lagos",1,6,3,3,3,0,0,0,1,4,9450000
230,Ajah,ajah lagos,1,12,6,6,6,1,1,0,1,9,42000000
231,Ajah,ajah lagos,1,6,3,3,3,1,1,0,1,4,10500000
232,Ajah,ajah lagos,1,10,5,5,5,1,1,1,1,8,52500000
233,Ajah,ado ajah lagos,1,5,3,2,3,0,0,0,1,4,9975000
234,Ajah,mobil road immediately after emerald estate ilaje ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
235,Ajah,value county estate near lagos business school off lekki epe expressway ajah lagos,1,8,4,4,4,1,0,0,1,5,13650000
236,Ajah,after lbs in olokonla in ajah axis lekki. olokonla ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
237,Ajah,opp ikota villa before ajah in lekki. lekki phase 2 lekki lagos,1,4,2,2,2,1,1,0,1,4,8925000
238,Ajah,ado ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
239,Ajah,ado ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
240,Ajah,peace estate badore ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
241,Ajah,ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
242,Ajah,ado ajah lagos,1,4,2,2,2,1,1,1,1,4,9450000
243,Ajah,remlek estate badore ajah badore ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
244,Ajah,badore ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
245,Ajah,badore ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
246,Ajah,badore ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
247,Ajah," iyabus plaza pump and sell area, ado ajah lagos",1,6,3,3,3,0,0,0,1,4,9450000
248,Ajah,ado ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
249,Ajah,badore ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
250,Ajah,badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
251,Ajah,thomas estates thomas estate ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
252,Ajah,orile maroko estate opp emerald estate mobil road illaje ajah ilaje ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
253,Ajah,ajiwe ajah lagos,1,4,2,2,2,1,1,1,1,4,13650000
254,Ajah,badore ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
255,Ajah,around blenco supermarket before sangotedo. peninsula estate ajah lagos,1,7,4,3,4,1,1,1,1,5,21000000
256,Ajah,around blenco supermarket before sangotedo in ajah axis lekki. peninsula estate ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
257,Ajah,after blenco supermarket before sangotedo market in ajah axis lekki. sangotedo ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
258,Ajah,fidiso estate in kingdom hall road in abijo in ajah axis lekki. abijo ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
259,Ajah,after blenco supermarket before sangotedo market in ajah axis lekki. sangotedo ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
260,Ajah,majek sangotedo in ajah axis lekki. sangotedo ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
261,Ajah,opp sangotedo market in ajah axis lekki. sangotedo ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
262,Ajah,opp sangotedo market in ajah axis lekki. sangotedo ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
263,Ajah,abijo ajah lagos,1,2,1,1,1,1,0,0,1,1,4725000
264,Ajah,seaside estate badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
265,Ajah,ado and environs ado ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
266,Ajah,ado ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
267,Ajah,ado and environs ado ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
268,Ajah,abraham adesanya estate ajah lagos,1,10,5,5,5,1,1,0,1,8,31500000
269,Ajah,majek sangotedo ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
270,Ajah,thomas estate ajah lagos,1,5,2,3,2,1,1,0,1,4,8400000
271,Ajah,abraham adesanya estate ajah lagos,1,2,1,1,1,1,1,1,1,1,10500000
272,Ajah,abraham adesanya estate ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
273,Ajah,thomas estate ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
274,Ajah,thomas estate ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
275,Ajah,badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
276,Ajah,mobil road illaje ajah lagos state ilaje ajah lagos,1,9,5,4,5,1,1,1,1,8,52500000
277,Ajah,good news estate sangotedo ajah lagos,1,10,5,5,5,1,1,1,1,8,52500000
278,Ajah,lekki garden estate phase 4 lekki gardens estate ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
279,Ajah,ajiwe ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
280,Ajah,behind the new shoprite in sangotedo in ajah axis lekki. sangotedo ajah lagos,1,10,5,5,5,1,1,0,1,8,31500000
281,Ajah,pump and sell bustop addo road ajah ado ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
282,Ajah,lekki palm city estate off lekki epe expressway ajah lagos,1,7,4,3,4,1,1,1,1,5,17850000
283,Ajah,greenville estate badore ajah badore ajah lagos,1,2,1,1,1,1,1,1,1,1,5250000
284,Ajah,badore ajah lagos,1,4,2,2,2,1,1,1,1,4,10500000
285,Ajah,off addo road marshy hill estate ado ajah lagos,1,6,3,3,3,1,1,1,1,4,12600000
286,Ajah,bakery bustop opp rockstone estate badore road ajah badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
287,Ajah,before blenco supermarket in olokonla in ajah axis lekki. olokonla ajah lagos,1,10,5,5,5,1,1,0,1,8,31500000
288,Ajah,pump and sell addo road ajah ado ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
289,Ajah,off mobile road ajah lagos,1,4,2,2,2,1,1,1,1,4,10500000
290,Ajah,marshy hill estate akins bustop addo road ajah ado ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
291,Ajah,marshy hill estate ado ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
292,Ajah," ologunfe, awoyaya ajah lagos",1,7,4,3,4,0,0,0,1,5,12600000
293,Ajah,mobil road ilaje ajah lagos,1,8,4,4,4,1,1,1,1,5,15750000
294,Ajah,majek opp fara park after crown estate in sangotedo in ajah axis lekki. crown estate ajah lagos,1,8,4,4,4,0,0,0,1,5,12600000
295,Ajah,ogombo ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
296,Ajah,greenville estate badore ajah badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
297,Ajah,lekki palms estate lavalon hotel estate off addo road ajah ado ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
298,Ajah,esfort estate opp mfm ajah off addo road ajah ado ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
299,Ajah,marshy hill estate ado ajah lagos,1,7,4,3,4,1,0,0,1,5,13650000
